id,use_case,wer,cer,substitutions,insertions,deletions,hits,gold_token_count,asr_token_count,length_ratio,insertion_rate,repetition_ratio,short_call_hallucination,repetition_burst,repetition_run,hallucination_candidate,gold_polarity,asr_polarity,gold_quantities,missing_quantities,quantity_preserved,entity_mentions,entity_failures,entity_script_variants,proper_noun_failure_flag
020e1147-dd6f-427f-9d53-5d40c658d66f,ecommerce support,0.9230769230769231,0.6379310344827587,5,7,0,8,13,20,1.54,0.6,0.0,False,False,,False,"affirmative,negative","affirmative,negative",दो,,True,0,0,0,False
2d9ac1d3-4e07-4de1-8815-1f0969fe4d3f,ecommerce support,0.6938775510204082,0.48523206751054854,13,18,3,33,49,64,1.31,0.453,0.0,False,False,,False,negative,"affirmative,negative",,,True,1,0,0,False
8043ee36-bd6f-412e-86b4-a1b983dc458a,b2b sales outreach,1.35,1.297872340425532,13,67,1,46,60,126,2.1,0.619,0.0,False,False,,False,,,,,True,0,0,0,False
df77107b-6531-4303-85eb-e56f056cc16e,ecommerce support,1.3,1.1058823529411765,7,18,1,12,20,37,1.85,0.676,0.081,False,False,ok,False,"affirmative,negative","affirmative,negative",,,True,0,0,0,False
9c328701-9884-459f-ab22-0103c76d3a52,b2b sales outreach,0.6086956521739131,0.3904761904761905,9,3,2,12,23,24,1.04,0.417,0.0,False,False,,False,negative,negative,,,True,0,0,0,False
d8676f59-e3d8-49c6-a135-3b77eda03e02,admissions / lead qualification,0.525,0.48068669527896996,5,15,1,34,40,54,1.35,0.37,0.056,False,False,university,False,affirmative,affirmative,,,True,2,1,0,True
59cc61e3-478d-45e7-9c52-d8f877375c9e,ecommerce support,0.6376811594202898,0.6201780415430267,9,33,2,58,69,100,1.45,0.42,0.0,False,False,,False,affirmative,affirmative,,,True,1,0,1,False
43b07a68-f6fb-4c99-8065-97d07f28f182,ecommerce support,0.75,0.3951612903225806,10,8,3,15,28,33,1.18,0.545,0.121,False,False,हां,False,"affirmative,negative","affirmative,negative",,,True,0,0,0,False
b2a6f783-90f7-4057-9d4c-ca589bd95034,ecommerce support,0.9,0.7804878048780488,3,4,2,5,10,12,1.2,0.583,0.0,False,False,,False,"affirmative,negative",affirmative,,,True,0,0,0,False
c1c6a53f-fd1e-428d-8198-22209c3e8082,verification call,0.7592592592592593,0.5316455696202531,28,12,1,25,54,65,1.2,0.585,0.062,False,False,हां,False,"affirmative,negative","affirmative,negative","six one,one","six one,one",False,3,2,0,True
6c605613-efd2-48e8-b080-8a086addf2a7,b2b sales outreach,0.8,0.711340206185567,5,0,11,4,20,9,0.45,0.556,0.0,False,False,,False,,,,,True,0,0,0,False
09c68660-7db4-4b5b-9a72-39a12f18c9bd,beverage order-taking,0.5151515151515151,0.3108974358974359,63,26,13,122,198,211,1.07,0.403,0.014,False,False,हां,False,affirmative,affirmative,"zero five two five,दो सौ ml छे bottle,दो सौ ml छे bottle,दो सौ ml बारह bottle,दो सौ ml,दो सौ ml एक case,एक case,दो litre,दो litre,bottle,दो litre,bottle,seven,two point two five litre तीन bottle,two point two five litre तीन bottle,two point two five litre तीन bottle,दो सौ ml,bottle,bottle,दो सौ ml,bottle,two hundred ml,two fifty ml,two fifty ml,एक case,पच्चीस,बारह bottle,बारह bottle,दो litre","दो सौ ml छे bottle,दो सौ ml छे bottle,दो litre,दो litre,दो litre,two point two five litre तीन bottle,two point two five litre तीन bottle,two point two five litre तीन bottle,दो litre",False,7,5,0,True
dd0bb7ca-015a-4bca-ac7f-42df781d3928,beverage order-taking,0.5227272727272727,0.327455919395466,29,11,6,53,88,93,1.06,0.419,0.011,False,False,no,False,"affirmative,negative","affirmative,negative","three one five,दो सौ ml,seven,दो सौ ml,six,seven,दो सौ ml six,दो,दो सौ ml","three one five,दो सौ ml six",False,4,0,0,False
8661511d-f289-4919-b2da-0b4f78726e1f,beverage order-taking,0.648,0.45210084033613446,44,34,3,78,125,156,1.25,0.481,0.0,False,False,,False,"affirmative,negative","affirmative,negative","two three zero six one five zero six one five,seven,two point two five लीटर एक case,seven fifty ml एक case,एक सौ पच्चीस ml,सवा लीटर चार case,one case,बीस bottle seven,सात सौ बारह bottle एक सौ पच्चीस ml,pack,सवा लीटर,एक case,सवा लीटर एक पचास","two point two five लीटर एक case,seven fifty ml एक case,एक सौ पच्चीस ml,सवा लीटर चार case,one case,बीस bottle seven,सात सौ बारह bottle एक सौ पच्चीस ml,pack,सवा लीटर एक पचास",False,5,1,0,True
a8afca71-9dd8-464c-9ebf-04933f58e4a4,beverage order-taking,0.7342342342342343,0.5599613152804642,86,73,4,132,222,291,1.31,0.478,0.021,False,False,एक minute,False,"affirmative,negative","affirmative,negative","zero six one five seven,two point two five litre,seven fifty ml,एक सौ पच्चीस ml,सवा litre,एक सौ पच्चीस ml,एक सौ पच्चीस ml seven,साढ़े सात सौ ml,seven,सवा दो litre एक case,साढ़े सात सौ ml एक case,एक bottle,एक case,चार case,सवा litre,चार case,एक case,बीस bottle,seven,साढ़े सात सौ ml बारह bottle,seven,दो litre,सवा litre,सवा litre half,बारह,pack,बारह,बारह,बारह,two fifty ml बारह,बारह,बारह,एक,बारह,बारह,बीस","two point two five litre,seven fifty ml,सवा litre,एक सौ पच्चीस ml seven,साढ़े सात सौ ml,सवा दो litre एक case,साढ़े सात सौ ml एक case,एक bottle,सवा litre,बीस bottle,साढ़े सात सौ ml बारह bottle,दो litre,सवा litre,सवा litre half,pack",False,6,2,1,True
33720198-f1f7-498b-915b-e836c5d61c5c,admissions / lead qualification,1.0,0.9285714285714286,0,5,0,5,5,10,2.0,0.5,0.0,True,False,,True,affirmative,affirmative,forty five percent,,True,0,0,0,False
2b184bcb-9a7a-4da5-9b06-f8b5ba1711fe,verification call,4.5,4.233333333333333,0,27,0,6,6,33,5.5,0.818,0.0,True,False,,True,,,,,True,0,0,0,False
